Case ID,Activity,Start Timestamp
1,a,19.04.21 15:10
1,a,19.04.21 15:11
1,b,19.04.21 15:12
1,c,19.04.21 15:13
1,c,19.04.21 15:14
1,d,19.04.21 15:15
1,e,19.04.21 15:16
1,g,19.04.21 15:17
2,a,19.04.21 15:10
2,b,19.04.21 15:11
2,c,19.04.21 15:12
2,d,19.04.21 15:13
2,f,19.04.21 15:14
2,g,19.04.21 15:15
3,a,19.04.21 15:10
3,c,19.04.21 15:11
3,b,19.04.21 15:12
3,d,19.04.21 15:13
3,e,19.04.21 15:14
3,e,19.04.21 15:15
3,g,19.04.21 15:16
4,a,19.04.21 15:10
4,c,19.04.21 15:11
4,b,19.04.21 15:12
4,d,19.04.21 15:13
4,f,19.04.21 15:14
4,g,19.04.21 15:15
5,a,19.04.21 15:10
5,a,19.04.21 15:11
5,b,19.04.21 15:12
5,c,19.04.21 15:13
5,d,19.04.21 15:14
5,e,19.04.21 15:15
5,e,19.04.21 15:16
5,g,19.04.21 15:17
6,a,19.04.21 15:10
6,a,19.04.21 15:11
6,a,19.04.21 15:12
6,b,19.04.21 15:13
6,c,19.04.21 15:14
6,d,19.04.21 15:15
6,f,19.04.21 15:16
6,g,19.04.21 15:17
7,a,19.04.21 15:10
7,c,19.04.21 15:11
7,c,19.04.21 15:12
7,b,19.04.21 15:13
7,d,19.04.21 15:14
7,e,19.04.21 15:15
7,e,19.04.21 15:16
7,g,19.04.21 15:17
8,a,19.04.21 15:10
8,c,19.04.21 15:11
8,c,19.04.21 15:12
8,c,19.04.21 15:13
8,b,19.04.21 15:14
8,d,19.04.21 15:15
8,f,19.04.21 15:16
8,g,19.04.21 15:17
