Case ID,Activity,Start Timestamp
1,a,19.04.21 15:10
1,b,19.04.21 15:11
1,b,19.04.21 15:12
1,b,19.04.21 15:13
1,c,19.04.21 15:14
1,b,19.04.21 15:15
1,e,19.04.21 15:16
2,a,19.04.21 15:10
2,b,19.04.21 15:11
2,b,19.04.21 15:12
2,c,19.04.21 15:13
2,b,19.04.21 15:14
2,e,19.04.21 15:15
3,a,19.04.21 15:10
3,b,19.04.21 15:11
3,b,19.04.21 15:12
3,d,19.04.21 15:13
3,c,19.04.21 15:14
3,e,19.04.21 15:15
4,a,19.04.21 15:10
4,b,19.04.21 15:11
4,c,19.04.21 15:12
4,d,19.04.21 15:13
4,b,19.04.21 15:14
4,e,19.04.21 15:15
5,a,19.04.21 15:10
5,d,19.04.21 15:11
5,b,19.04.21 15:12
5,b,19.04.21 15:13
5,c,19.04.21 15:14
5,e,19.04.21 15:15
6,a,19.04.21 15:10
6,b,19.04.21 15:11
6,c,19.04.21 15:12
6,b,19.04.21 15:13
6,b,19.04.21 15:14
6,e,19.04.21 15:15
7,a,19.04.21 15:10
7,c,19.04.21 15:11
7,d,19.04.21 15:12
7,b,19.04.21 15:13
7,e,19.04.21 15:14
8,a,19.04.21 15:10
8,d,19.04.21 15:11
8,c,19.04.21 15:12
8,b,19.04.21 15:13
8,e,19.04.21 15:14
9,a,19.04.21 15:10
9,b,19.04.21 15:11
9,c,19.04.21 15:12
9,b,19.04.21 15:13
9,e,19.04.21 15:14
10,a,19.04.21 15:10
10,b,19.04.21 15:11
10,b,19.04.21 15:12
10,c,19.04.21 15:13
10,e,19.04.21 15:14
11,a,19.04.21 15:10
11,b,19.04.21 15:11
11,c,19.04.21 15:12
11,b,19.04.21 15:13
11,e,19.04.21 15:14
12,a,19.04.21 15:10
12,b,19.04.21 15:11
12,d,19.04.21 15:12
12,b,19.04.21 15:13
12,e,19.04.21 15:14
13,a,19.04.21 15:10
13,b,19.04.21 15:11
13,c,19.04.21 15:12
13,e,19.04.21 15:13
14,a,19.04.21 15:10
14,c,19.04.21 15:11
14,b,19.04.21 15:12
14,e,19.04.21 15:13
15,a,19.04.21 15:10
15,b,19.04.21 15:11
15,b,19.04.21 15:12
15,e,19.04.21 15:13
16,a,19.04.21 15:10
16,b,19.04.21 15:11
16,e,19.04.21 15:12
17,a,19.04.21 15:10
17,c,19.04.21 15:11
17,e,19.04.21 15:12
18,a,19.04.21 15:10
18,b,19.04.21 15:11
18,e,19.04.21 15:12
19,a,19.04.21 15:10
19,c,19.04.21 15:11
19,e,19.04.21 15:12
20,a,19.04.21 15:10
20,b,19.04.21 15:11
20,e,19.04.21 15:12
21,a,19.04.21 15:10
21,c,19.04.21 15:11
21,e,19.04.21 15:12
22,a,19.04.21 15:10
22,d,19.04.21 15:11
22,e,19.04.21 15:12
