Case ID,Activity,Start Timestamp
1,a,19.04.21 15:10
1,c,19.04.21 15:11
1,c,19.04.21 15:12
1,d,19.04.21 15:13
1,d,19.04.21 15:14
1,d,19.04.21 15:15
2,a,19.04.21 15:10
2,d,19.04.21 15:11
2,d,19.04.21 15:12
2,c,19.04.21 15:13
2,c,19.04.21 15:14
3,b,19.04.21 15:10
3,c,19.04.21 15:11
3,d,19.04.21 15:12
3,c,19.04.21 15:13
3,d,19.04.21 15:14
4,b,19.04.21 15:10
4,d,19.04.21 15:11
4,c,19.04.21 15:12
4,d,19.04.21 15:13
4,c,19.04.21 15:14
4,c,19.04.21 15:15
5,b,19.04.21 15:10
5,d,19.04.21 15:11
5,d,19.04.21 15:12
5,c,19.04.21 15:13
5,d,19.04.21 15:14
5,c,19.04.21 15:15
5,c,19.04.21 15:16
5,c,19.04.21 15:17
